RF of fastTree, RF of raxml
0.041237113402061855,0.041237113402061855
0.08247422680412371,0.1134020618556701
0.09278350515463918,0.12371134020618557
0.10824742268041238,0.11855670103092783
0.0979381443298969,0.10824742268041238
0.041237113402061855,0.05154639175257732
0.17525773195876287,0.17525773195876287
0.061855670103092786,0.08247422680412371
0.05154639175257732,0.061855670103092786
0.07216494845360824,0.10309278350515463
0.10309278350515463,0.13402061855670103
0.08247422680412371,0.09278350515463918
0.061855670103092786,0.061855670103092786
0.05154639175257732,0.09278350515463918
0.041237113402061855,0.061855670103092786
0.08247422680412371,0.09278350515463918
0.10309278350515463,0.12371134020618557
0.05670103092783505,0.06701030927835051
0.08247422680412371,0.12371134020618557
0.07216494845360824,0.07216494845360824
0.041237113402061855,0.061855670103092786
0.05670103092783505,0.08762886597938144
0.06701030927835051,0.07731958762886598
0.041237113402061855,0.041237113402061855
0.030927835051546393,0.07216494845360824
0.061855670103092786,0.07216494845360824
0.041237113402061855,0.061855670103092786
0.09278350515463918,0.1134020618556701
0.09278350515463918,0.09278350515463918
0.05670103092783505,0.05670103092783505
0.030927835051546393,0.030927835051546393
0.08762886597938144,0.0979381443298969
0.05154639175257732,0.061855670103092786
0.041237113402061855,0.05154639175257732
0.03608247422680412,0.03608247422680412
0.041237113402061855,0.041237113402061855
0.05670103092783505,0.06701030927835051
0.041237113402061855,0.07216494845360824
0.05670103092783505,0.05670103092783505
0.05670103092783505,0.0979381443298969
0.041237113402061855,0.05154639175257732
0.061855670103092786,0.061855670103092786
0.030927835051546393,0.030927835051546393
0.08247422680412371,0.09278350515463918
0.0979381443298969,0.0979381443298969
0.07731958762886598,0.10824742268041238
0.03608247422680412,0.03608247422680412
0.07216494845360824,0.08247422680412371
0.041237113402061855,0.041237113402061855
0.030927835051546393,0.030927835051546393
0.020618556701030927,0.041237113402061855
0.061855670103092786,0.07216494845360824
0.06701030927835051,0.10824742268041238
0.030927835051546393,0.030927835051546393
0.03608247422680412,0.04639175257731959
0.08247422680412371,0.09278350515463918
0.06701030927835051,0.06701030927835051
0.07731958762886598,0.08762886597938144
0.04639175257731959,0.05670103092783505
0.08762886597938144,0.11855670103092783
