filename,p-distance,min,max
3_-1-tryfinal_fa1_hh0_TRUE.phy, 0.0 1 0
3_2-tryfinal_fa1_ll1_TRUE.phy, 0.7442196125977414 0.001001001001 0.814814814815
3_2-tryfinal_fa1_ll2_TRUE.phy, 0.7443973553847707 0.00099009901 0.807265388496
3_2-tryfinal_fa1_ll3_TRUE.phy, 0.7438713113412064 0.000996015936 0.807
3_2-tryfinal_fa1_ll4_TRUE.phy, 0.7439694993672927 0.000993048659 0.810327706058
3_3-tryfinal_fa1_hh0_TRUE.phy, 0.7464623399925867 0.000982318271 0.806419257773
3_3-tryfinal_fa1_hh1_TRUE.phy, 0.7460848629996596 0.000994035785 0.819655521783
3_3-tryfinal_fa1_hh2_TRUE.phy, 0.7462864464308547 0.000995024876 0.80947476828
3_3-tryfinal_fa1_hh3_TRUE.phy, 0.7465047717323123 0.000981354269 0.810924369748
3_3-tryfinal_fa1_hh4_TRUE.phy, 0.7463161944923145 0.000981354269 0.815709969789
3_3-tryfinal_fa1_ll0_TRUE.phy, 0.7461362881934801 0.000981354269 0.814299900695
3_3-tryfinal_fa1_ll1_TRUE.phy, 0.7465453585741557 0.000980392157 0.811224489796
3_3-tryfinal_fa1_ll2_TRUE.phy, 0.7461947615951211 0.000995024876 0.805443548387
3_3-tryfinal_fa1_ll3_TRUE.phy, 0.7464775469947925 0.012145748988 0.805805805806
3_3-tryfinal_fa1_ll4_TRUE.phy, 0.7461357930999201 0.001002004008 0.811301715439
