filename,p-distance,min,max
3_-1-tryfinal_fa1_hh0_TRUE.phy, 0.0 1 0
3_2-tryfinal_fa1_ll1_TRUE.phy, 0.6040917756311396 0.001001001001 0.814814814815
3_2-tryfinal_fa1_ll2_TRUE.phy, 0.6042360515330436 0.00099009901 0.807265388496
3_2-tryfinal_fa1_ll3_TRUE.phy, 0.6038090554220062 0.000996015936 0.807
3_2-tryfinal_fa1_ll4_TRUE.phy, 0.6038887557927304 0.000993048659 0.810327706058
3_3-tryfinal_fa1_hh0_TRUE.phy, 0.6059122237237122 0.000982318271 0.806419257773
3_3-tryfinal_fa1_hh1_TRUE.phy, 0.6056058212276516 0.000994035785 0.819655521783
3_3-tryfinal_fa1_hh2_TRUE.phy, 0.6057694488596398 0.000995024876 0.80947476828
3_3-tryfinal_fa1_hh3_TRUE.phy, 0.6059466660637959 0.000981354269 0.810924369748
3_3-tryfinal_fa1_hh4_TRUE.phy, 0.6057935957095273 0.000981354269 0.815709969789
3_3-tryfinal_fa1_ll0_TRUE.phy, 0.6056475636597528 0.000981354269 0.814299900695
3_3-tryfinal_fa1_ll1_TRUE.phy, 0.6059796108786616 0.000980392157 0.811224489796
3_3-tryfinal_fa1_ll2_TRUE.phy, 0.6056950272046884 0.000995024876 0.805443548387
3_3-tryfinal_fa1_ll3_TRUE.phy, 0.6059245674255028 0.012145748988 0.805805805806
3_3-tryfinal_fa1_ll4_TRUE.phy, 0.6056471617865117 0.001002004008 0.811301715439
