filename,p-distance,min,max
3_2-tryfinal_fa1_ll4_TRUE.phy, 0.7422909523260605 0.008040201005 0.806613226453
3_3-tryfinal_fa1_hh0_TRUE.phy, 0.7464348076141034 0.019427402863 0.800204918033
3_3-tryfinal_fa1_hh1_TRUE.phy, 0.7463949962563482 0.012096774194 0.805443548387
3_3-tryfinal_fa1_hh2_TRUE.phy, 0.7464629468075055 0.02 0.800407331976
3_3-tryfinal_fa1_hh3_TRUE.phy, 0.7467067276081595 0.000964320154 0.802566633761
3_3-tryfinal_fa1_hh4_TRUE.phy, 0.7464478428408916 0.001012145749 0.806818181818
3_3-tryfinal_fa1_ll0_TRUE.phy, 0.7464065469427035 0.002030456853 0.812368972746
3_3-tryfinal_fa1_ll1_TRUE.phy, 0.7465350165423982 0.018 0.8
3_3-tryfinal_fa1_ll2_TRUE.phy, 0.7466506451843914 0.015904572565 0.8017839445
3_3-tryfinal_fa1_ll3_TRUE.phy, 0.7461932507988038 0.021042084168 0.800200803213
3_3-tryfinal_fa1_ll4_TRUE.phy, 0.7465215610571146 0.022177419355 0.802208835341
