factor,method,nl,ei1,ei2,fp,fn,rf
42,fastTree,901,898,302,184,780,0.803333
42,RAxML,901,898,898,770,770,0.857461
42,iqtree,901,898,898,782,782,0.870824
43,fastTree,901,898,281,160,777,0.794741
43,RAxML,901,898,898,774,774,0.861915
43,iqtree,901,898,898,778,778,0.866370
44,fastTree,901,898,284,177,791,0.818951
44,RAxML,901,898,898,779,779,0.867483
44,iqtree,901,898,898,789,789,0.878619
45,fastTree,901,898,295,168,771,0.787091
45,RAxML,901,898,898,766,766,0.853007
45,iqtree,901,898,898,771,771,0.858575
46,fastTree,901,898,275,161,784,0.805627
46,RAxML,901,898,898,774,774,0.861915
46,iqtree,901,898,898,785,785,0.874165
47,fastTree,901,898,308,181,771,0.789386
47,RAxML,901,898,898,759,759,0.845212
47,iqtree,901,898,898,773,773,0.860802
48,fastTree,901,898,311,195,782,0.808106
48,RAxML,901,898,898,767,767,0.854120
48,iqtree,901,898,898,782,782,0.870824
49,fastTree,901,898,291,170,777,0.796468
49,RAxML,901,898,898,771,771,0.858575
49,iqtree,901,898,898,774,774,0.861915
50,fastTree,901,898,83,58,873,0.949032
50,RAxML,901,898,898,872,872,0.971047
50,iqtree,901,898,898,873,873,0.972160
51,fastTree,901,898,95,61,864,0.931521
51,RAxML,901,898,898,865,865,0.963252
51,iqtree,901,898,898,865,865,0.963252
52,fastTree,901,898,103,62,857,0.918082
52,RAxML,901,898,898,855,855,0.952116
52,iqtree,901,898,898,859,859,0.956570
53,fastTree,901,898,70,47,875,0.952479
53,RAxML,901,898,898,873,873,0.972160
53,iqtree,901,898,898,875,875,0.974388
54,fastTree,901,898,117,75,856,0.917241
54,RAxML,901,898,898,855,855,0.952116
54,iqtree,901,898,898,858,858,0.955457
55,fastTree,901,898,106,63,855,0.914343
55,RAxML,901,898,898,849,849,0.945434
55,iqtree,901,898,898,856,856,0.953229
56,fastTree,901,898,85,55,868,0.938962
56,RAxML,901,898,898,867,867,0.965479
56,iqtree,901,898,898,867,867,0.965479
57,fastTree,901,898,89,62,871,0.945289
57,RAxML,901,898,898,867,867,0.965479
57,iqtree,901,898,898,869,869,0.967706
58,fastTree,901,898,91,57,864,0.931244
58,RAxML,901,898,898,862,862,0.959911
58,iqtree,901,898,898,865,865,0.963252
59,fastTree,901,898,96,65,867,0.937626
59,RAxML,901,898,898,863,863,0.961024
59,iqtree,901,898,898,866,866,0.964365
60,fastTree,901,898,14,10,894,0.991228
60,RAxML,901,898,898,894,894,0.995546
60,iqtree,901,898,898,894,894,0.995546
61,fastTree,901,898,23,14,889,0.980456
61,RAxML,901,898,898,889,889,0.989978
61,iqtree,901,898,898,889,889,0.989978
62,fastTree,901,898,13,10,895,0.993414
62,RAxML,901,898,898,895,895,0.996659
62,iqtree,901,898,898,895,895,0.996659
63,fastTree,901,898,15,11,894,0.991238
63,RAxML,901,898,898,894,894,0.995546
63,iqtree,901,898,898,894,894,0.995546
64,fastTree,901,898,16,12,894,0.991247
64,RAxML,901,898,898,893,893,0.994432
64,iqtree,901,898,898,894,894,0.995546
65,fastTree,901,898,29,19,888,0.978425
65,RAxML,901,898,898,887,887,0.987751
65,iqtree,901,898,898,888,888,0.988864
66,fastTree,901,898,27,20,891,0.984865
66,RAxML,901,898,898,890,890,0.991091
66,iqtree,901,898,898,891,891,0.992205
67,fastTree,901,898,23,15,890,0.982628
67,RAxML,901,898,898,890,890,0.991091
67,iqtree,901,898,898,890,890,0.991091
68,fastTree,901,898,23,15,890,0.982628
68,RAxML,901,898,898,889,889,0.989978
68,iqtree,901,898,898,890,890,0.991091
69,fastTree,901,898,25,17,890,0.982665
69,RAxML,901,898,898,889,889,0.989978
69,iqtree,901,898,898,890,890,0.991091
70,fastTree,901,898,3,1,896,0.995560
70,RAxML,901,898,898,896,896,0.997773
70,iqtree,901,898,898,896,896,0.997773
71,fastTree,901,898,5,4,897,0.997785
71,RAxML,901,898,898,897,897,0.998886
71,iqtree,901,898,898,897,897,0.998886
72,fastTree,901,898,7,4,895,0.993370
72,RAxML,901,898,898,895,895,0.996659
72,iqtree,901,898,898,895,895,0.996659
73,fastTree,901,898,2,1,897,0.997778
73,RAxML,901,898,898,897,897,0.998886
73,iqtree,901,898,898,897,897,0.998886
74,fastTree,901,898,1,0,897,0.997775
74,RAxML,901,898,898,897,897,0.998886
74,iqtree,901,898,898,897,897,0.998886
75,fastTree,901,898,2,1,897,0.997778
75,RAxML,901,898,898,897,897,0.998886
75,iqtree,901,898,898,897,897,0.998886
76,fastTree,901,898,4,3,897,0.997783
76,RAxML,901,898,898,897,897,0.998886
76,iqtree,901,898,898,897,897,0.998886
77,fastTree,901,898,4,3,897,0.997783
77,RAxML,901,898,898,897,897,0.998886
77,iqtree,901,898,898,897,897,0.998886
78,fastTree,901,898,1,1,898,1.000000
78,RAxML,901,898,898,898,898,1.000000
78,iqtree,901,898,898,898,898,1.000000
79,fastTree,901,898,5,4,897,0.997785
79,RAxML,901,898,898,897,897,0.998886
79,iqtree,901,898,898,897,897,0.998886
80,fastTree,901,898,1,1,898,1.000000
80,RAxML,901,898,898,898,898,1.000000
80,iqtree,901,898,898,898,898,1.000000
81,fastTree,901,898,0,0,898,1.000000
81,RAxML,901,898,898,898,898,1.000000
81,iqtree,901,898,898,898,898,1.000000
82,fastTree,901,898,0,0,898,1.000000
82,RAxML,901,898,898,897,897,0.998886
82,iqtree,901,898,898,898,898,1.000000
83,fastTree,901,898,2,0,896,0.995556
83,RAxML,901,898,898,897,897,0.998886
83,iqtree,901,898,898,896,896,0.997773
84,fastTree,901,898,0,0,898,1.000000
84,RAxML,901,898,898,898,898,1.000000
84,iqtree,901,898,898,898,898,1.000000
85,fastTree,901,898,0,0,898,1.000000
85,RAxML,901,898,898,898,898,1.000000
85,iqtree,901,898,898,898,898,1.000000
86,fastTree,901,898,0,0,898,1.000000
86,RAxML,901,898,898,898,898,1.000000
86,iqtree,901,898,898,898,898,1.000000
87,fastTree,901,898,3,1,896,0.995560
87,RAxML,901,898,898,895,895,0.996659
87,iqtree,901,898,898,896,896,0.997773
88,fastTree,901,898,0,0,898,1.000000
88,RAxML,901,898,898,898,898,1.000000
88,iqtree,901,898,898,898,898,1.000000
89,fastTree,901,898,0,0,898,1.000000
89,RAxML,901,898,898,898,898,1.000000
89,iqtree,901,898,898,898,898,1.000000
90,fastTree,901,898,0,0,898,1.000000
90,RAxML,901,898,898,898,898,1.000000
90,iqtree,901,898,898,898,898,1.000000
91,fastTree,901,898,0,0,898,1.000000
91,RAxML,901,898,898,898,898,1.000000
91,iqtree,901,898,898,898,898,1.000000
92,fastTree,901,898,0,0,898,1.000000
92,RAxML,901,898,898,898,898,1.000000
92,iqtree,901,898,898,898,898,1.000000
93,fastTree,901,898,0,0,898,1.000000
93,RAxML,901,898,898,898,898,1.000000
93,iqtree,901,898,898,898,898,1.000000
94,fastTree,901,898,0,0,898,1.000000
94,RAxML,901,898,898,898,898,1.000000
94,iqtree,901,898,898,898,898,1.000000
95,fastTree,901,898,0,0,898,1.000000
95,RAxML,901,898,898,898,898,1.000000
95,iqtree,901,898,898,898,898,1.000000
96,fastTree,901,898,0,0,898,1.000000
96,RAxML,901,898,898,898,898,1.000000
96,iqtree,901,898,898,898,898,1.000000
97,fastTree,901,898,0,0,898,1.000000
97,RAxML,901,898,898,898,898,1.000000
97,iqtree,901,898,898,898,898,1.000000
98,fastTree,901,898,0,0,898,1.000000
98,RAxML,901,898,898,898,898,1.000000
98,iqtree,901,898,898,898,898,1.000000
99,fastTree,901,898,0,0,898,1.000000
99,RAxML,901,898,898,898,898,1.000000
99,iqtree,901,898,898,898,898,1.000000
